Brand	Condition	Fuel	KMs Driven	Model	Price	Registered City	Transaction Type	Year
Suzuki	Used	Petrol	100000.0	Bolan	380000	Karachi	Cash	2006.0
Suzuki	Used	CNG	12345.0	Bolan	340000	Karachi	Cash	1998.0
Suzuki	Used	Petrol	94000.0	Alto	535000	Karachi	Cash	2010.0
Toyota	Used	Petrol	80000.0	Corrolla Altis	1620000	Karachi	Cash	2012.0
Toyota	New	Petrol	10241.0	Corrolla Altis	2900000	Karachi	Cash	2017.0
Suzuki	Used	CNG	83000.0	Alto	490000	Karachi	Cash	2009.0
Suzuki	Used	CNG	123.0	Khyber	230000	Karachi	Cash	1994.0
Suzuki	Used	CNG	73000.0	Liana	535000	Karachi	Cash	2006.0
Honda	Used	CNG	170000.0	Civic EXi	160000	Karachi	Cash	1984.0
Suzuki	Used	Petrol	200000.0	Alto	425000	Karachi	Cash	2005.0
Daihatsu	Used	Petrol	100000.0	Charade	180000	Karachi	Cash	1988.0
Mitsubishi	Used	Petrol	82000.0	Pajero Mini	520000	Karachi	Cash	1995.0
Honda	Used	Petrol	69500.0	City IVTEC	1400000	Karachi	Cash	2014.0
Suzuki	Used	CNG	10000.0	Khyber	175000	Karachi	Cash	1989.0
Honda	Used	CNG	87611.0	Civic EXi	590000	Karachi	Cash	2000.0
Suzuki	Used	CNG	88000.0	Alto	465000	Karachi	Cash	2007.0
Toyota	Used	Petrol	75000.0	Corolla GLI	1190000	Karachi	Cash	2010.0
Suzuki	Used	CNG	76000.0	Cultus VXR	370000	Karachi	Cash	2002.0
Toyota	New	Petrol	43000.0	Corolla XLI	1675000	Karachi	Cash	2015.0
Suzuki	Used	CNG	3875.0	Mehran VX	195000	Karachi	Cash	1999.0
Suzuki	Used	CNG	98000.0	Mehran VX	165000	Karachi	Cash	1991.0
Suzuki	Used	Petrol	1000.0	Alto	420000	Karachi	Cash	2006.0
Toyota	Used	Petrol	39000.0	Vitz	1430000	Karachi	Cash	2014.0
Suzuki	Used	LPG	786.0	Carry	130000	Karachi	Cash	1982.0
Toyota	Used	Petrol	89000.0	Passo	1040000	Karachi	Cash	2010.0
Suzuki	Used	CNG	1.0	Cultus VX	400000	Karachi	Cash	2002.0
Suzuki	Used	Petrol	100000.0	Cultus VXR	360000	Karachi	Cash	2001.0
Toyota	New	Petrol	69000.0	Vitz	1150000	Karachi	Cash	2003.0
Suzuki	New	CNG	65000.0	Mehran VX	265000	Karachi	Cash	2005.0
Toyota	Used	Petrol	163000.0	Corolla GLI	1220000	Karachi	Cash	2009.0
Suzuki	Used	CNG	56.0	Cultus VXR	780000	Karachi	Cash	2011.0
Suzuki	Used	CNG	10000.0	Bolan	250000	Karachi	Cash	1987.0
Toyota	Used	Petrol	190.0	Corrolla Altis	875000	Karachi	Cash	2004.0
Toyota	Used	CNG	65000.0	Corolla XLI	1260000	Karachi	Cash	2013.0
Suzuki	Used	Petrol	5458.0	Baleno	380000	Karachi	Cash	2001.0
Daihatsu	Used	Petrol	88000.0	Mira	1050000	Karachi	Cash	2013.0
Toyota	Used	CNG	200000.0	Vitz	730000	Karachi	Cash	2006.0
Honda	New	Petrol	95000.0	Civic VTi Oriel Prosmatec	1070000	Karachi	Cash	2007.0
Daihatsu	Used	CNG	71000.0	Cuore	410000	Karachi	Cash	2001.0
Daihatsu	Used	CNG	100.0	Charade	155000	Karachi	Cash	1984.0
Suzuki	Used	CNG	1.0	Margalla	320000	Karachi	Cash	1994.0
Toyota	Used	Diesel	134000.0	Corolla 2.0 D	1080000	Karachi	Cash	2010.0
Toyota	Used	Petrol	123456.0	Corolla XE	570000	Karachi	Cash	1998.0
Toyota	Used	Petrol	92000.0	Surf	4150000	Karachi	Cash	2007.0
Suzuki	New	Petrol	36000.0	Mehran VXR	590000	Karachi	Cash	2015.0
Toyota	Used	Petrol	40000.0	Corolla GLI	1740000	Karachi	Cash	2015.0
Toyota	Used	Petrol	85010.0	Corolla GLI	916000	Karachi	Cash	2004.0
Suzuki	Used	CNG	17000.0	Mehran VX	110000	Hyderabad	Cash	1991.0
Honda	Used	Petrol	100000.0	City IDSI	765000	Karachi	Cash	2004.0
Toyota	Used	Petrol	130000.0	Premio	1150000	Karachi	Cash	2003.0
Suzuki	Used	Petrol	150000.0	Alto	410000	Karachi	Cash	2007.0
Suzuki	Used	Petrol	70000.0	Cultus VXR	790000	Karachi	Cash	2011.0
Daihatsu	Used	Petrol	102000.0	Mira	785000	Karachi	Cash	2011.0
Toyota	Used	CNG	100000.0	Sprinter	150000	Karachi	Cash	1987.0
BMW	Used	CNG	53524.0	3 Series	550000	Karachi	Cash	1997.0
Mazda	Used	Petrol	78000.0	Other	825000	Karachi	Cash	2007.0
Toyota	Used	Diesel	40000.0	Hilux	3850000	Karachi	Cash	2013.0
Suzuki	Used	Petrol	90000.0	Mehran VXR	490000	Karachi	Cash	2012.0
Toyota	Used	Petrol	40000.0	Vitz	1250000	Karachi	Cash	2010.0
Daihatsu	Used	Petrol	80000.0	Charade	135000	Karachi	Cash	1986.0
Mitsubishi	New	Petrol	96000.0	Lancer	780000	Karachi	Cash	2008.0
Other Brands	Used	Diesel	38000.0	Other	4500000	Karachi	Cash	2012.0
Honda	New	Petrol	10900.0	Civic VTi Oriel Prosmatec	2880000	Karachi	Cash	2017.0
Toyota	Used	Petrol	64600.0	Passo	975000	Karachi	Cash	2007.0
Suzuki	Used	Petrol	80000.0	Cultus VXR	440000	Karachi	Cash	2004.0
Suzuki	Used	CNG	52000.0	Mehran VXR	400000	Karachi	Cash	2008.0
Suzuki	Used	CNG	1.0	Bolan	305000	Karachi	Cash	1997.0
Suzuki	Used	Petrol	48000.0	Mehran VX	450000	Karachi	Cash	2012.0
Suzuki	Used	Petrol	50000.0	Swift	1140000	Karachi	Cash	2015.0
Suzuki	Used	CNG	25000.0	Alto	335000	Karachi	Cash	2004.0
Toyota	Used	Petrol	74000.0	Estima	3350000	Karachi	Cash	2010.0
Suzuki	Used	Petrol	65000.0	Mehran VXR	405000	Karachi	Cash	2011.0
Toyota	Used	Petrol	1991.0	Prado	1150000	Karachi	Cash	1991.0
Suzuki	Used	Petrol	25000.0	Cultus VXR	865000	Karachi	Cash	2014.0
Toyota	Used	Petrol	60000.0	Passo	1090000	Karachi	Cash	2010.0
Suzuki	New	CNG	125463.0	Mehran VXR	300000	Karachi	Cash	2009.0
Suzuki	New	CNG	76000.0	Cultus VXR	440000	Karachi	Cash	2000.0
Honda	Used	Petrol	132000.0	Civic VTi	750000	Karachi	Cash	2000.0
Honda	Used	Petrol	17500.0	Vamos	820000	Karachi	Installment/Leasing	2011.0
Toyota	Used	CNG	186000.0	Starlet	250000	Karachi	Cash	1986.0
Toyota	Used	Hybrid	88000.0	Prius	2500000	Karachi	Cash	2013.0
Chevrolet	Used	Petrol	100000.0	Joy	320000	Karachi	Cash	2006.0
Toyota	Used	Petrol	250000.0	Vitz	765000	Karachi	Cash	2000.0
Toyota	New	Diesel	62.0	Hilux	5350000	Karachi	Cash	2018.0
Honda	Used	Petrol	85575.0	City IVTEC	1160000	Karachi	Cash	2010.0
Toyota	Used	Petrol	100000.0	Passo	9000000	Karachi	Cash	2007.0
Mazda	Used	CNG	10000.0	323	55000	Karachi	Cash	1981.0
Toyota	Used	Petrol	77000.0	Corrolla Altis	1110000	Karachi	Cash	2010.0
Suzuki	Used	CNG	89000.0	Alto	570000	Karachi	Cash	2011.0
Suzuki	Used	Petrol	111000.0	Cultus VXR	750000	Karachi	Cash	2011.0
Suzuki	Used	CNG	60000.0	Cultus VXL	690000	Karachi	Cash	2009.0
Toyota	Used	Petrol	80000.0	Corolla GLI	1400000	Karachi	Cash	2011.0
Suzuki	Used	CNG	100.0	Mehran VX	145000	Karachi	Cash	1991.0
Honda	Used	Petrol	59000.0	Civic Prosmetic	1710000	Karachi	Cash	2014.0
Toyota	Used	CNG	8000000.0	Corolla XLI	900000	Karachi	Cash	2007.0
Toyota	Used	CNG	13700.0	Other	105000	Karachi	Cash	1978.0
Honda	Used	Petrol	12345.0	Other	485000	Karachi	Cash	2007.0
Suzuki	Used	Petrol	1.0	Khyber	260000	Karachi	Cash	1999.0
Honda	Used	Petrol	80000.0	City IVTEC	1080000	Karachi	Cash	2010.0
Daewoo	Used	Petrol	100042.0	Racer	210000	Karachi	Cash	1994.0
Honda	Used	Petrol	132000.0	Civic Prosmetic	1000000	Karachi	Cash	2007.0
Suzuki	New	Petrol	1.0	Other	1150000	Karachi	Cash	2008.0
Honda	Used	CNG	100000.0	City IDSI	785000	Karachi	Cash	2006.0
Nissan	Used	CNG	6000000.0	Sunny	220000	Karachi	Cash	1991.0
Suzuki	Used	Petrol	1.0	Alto	450000	Karachi	Cash	2007.0
Honda	Used	CNG	200000.0	Accord	290000	Karachi	Cash	1986.0
Honda	Used	Petrol	54000.0	Zest	950000	Karachi	Cash	2011.0
